period,flat_type_normalised,median_monthly_rent,record_count
2021-02-01,1 ROOM,1100.00,1
2021-03-01,1 ROOM,1400.00,1
2021-05-01,1 ROOM,1225.00,2
2021-06-01,1 ROOM,1500.00,1
2021-08-01,1 ROOM,1400.00,1
2021-11-01,1 ROOM,825.00,2
2021-12-01,1 ROOM,1300.00,1
2022-02-01,1 ROOM,1300.00,1
2022-03-01,1 ROOM,1275.00,2
2022-04-01,1 ROOM,1650.00,2
2022-05-01,1 ROOM,1225.00,2
2022-06-01,1 ROOM,1000.00,1
2022-09-01,1 ROOM,1600.00,2
2022-11-01,1 ROOM,2000.00,1
2023-01-01,1 ROOM,1900.00,1
2023-02-01,1 ROOM,2000.00,1
2023-03-01,1 ROOM,1700.00,1
2023-04-01,1 ROOM,1000.00,1
2023-06-01,1 ROOM,2000.00,3
2023-10-01,1 ROOM,2100.00,1
2023-12-01,1 ROOM,1900.00,1
2024-02-01,1 ROOM,800.00,3
2024-03-01,1 ROOM,1300.00,1
2024-04-01,1 ROOM,1600.00,4
2024-06-01,1 ROOM,2150.00,1
2024-07-01,1 ROOM,1100.00,1
2024-09-01,1 ROOM,1650.00,2
2024-10-01,1 ROOM,2000.00,1
2024-11-01,1 ROOM,1950.00,2
2025-01-01,1 ROOM,1600.00,1
2025-02-01,1 ROOM,2000.00,1
2025-03-01,1 ROOM,1800.00,2
2025-05-01,1 ROOM,1900.00,1
2025-06-01,1 ROOM,1325.00,1
2025-08-01,1 ROOM,2450.00,2
2025-11-01,1 ROOM,2000.00,1
2026-02-01,1 ROOM,2000.00,1
2026-03-01,1 ROOM,2000.00,1
2026-04-01,1 ROOM,2000.00,3
2026-06-01,1 ROOM,1475.00,2
2021-01-01,2 ROOM,1500.00,51
2021-02-01,2 ROOM,1390.00,34
2021-03-01,2 ROOM,1500.00,48
2021-04-01,2 ROOM,1450.00,45
2021-05-01,2 ROOM,1425.00,46
2021-06-01,2 ROOM,1500.00,46
2021-07-01,2 ROOM,1500.00,42
2021-08-01,2 ROOM,1500.00,56
2021-09-01,2 ROOM,1500.00,50
2021-10-01,2 ROOM,1575.00,54
2021-11-01,2 ROOM,1600.00,43
2021-12-01,2 ROOM,1600.00,44
2022-01-01,2 ROOM,1600.00,44
2022-02-01,2 ROOM,1500.00,32
2022-03-01,2 ROOM,1600.00,66
2022-04-01,2 ROOM,1500.00,50
2022-05-01,2 ROOM,1775.00,38
2022-06-01,2 ROOM,1750.00,46
2022-07-01,2 ROOM,1800.00,51
2022-08-01,2 ROOM,1790.00,56
2022-09-01,2 ROOM,1900.00,57
2022-10-01,2 ROOM,2000.00,65
