period,median_monthly_rent,record_count
2021-01-01,2000.00,3238
2021-02-01,2000.00,2781
2021-03-01,2000.00,3826
2021-04-01,2000.00,3113
2021-05-01,2050.00,3594
2021-06-01,2100.00,3336
2021-07-01,2100.00,3273
2021-08-01,2100.00,3170
2021-09-01,2100.00,3099
2021-10-01,2100.00,3196
2021-11-01,2200.00,2999
2021-12-01,2200.00,3257
2022-01-01,2200.00,3379
2022-02-01,2200.00,2725
2022-03-01,2300.00,3313
2022-04-01,2300.00,2711
2022-05-01,2350.00,2946
2022-06-01,2400.00,2870
2022-07-01,2500.00,2729
2022-08-01,2600.00,2493
2022-09-01,2600.00,2447
2022-10-01,2750.00,2622
2022-11-01,2800.00,2610
2022-12-01,2900.00,2767
2023-01-01,2900.00,2704
2023-02-01,3000.00,3057
2023-03-01,3000.00,3308
2023-04-01,3000.00,3066
2023-05-01,3000.00,3085
2023-06-01,3000.00,3139
2023-07-01,3100.00,3329
2023-08-01,3100.00,3073
2023-09-01,3000.00,2822
2023-10-01,3100.00,3140
2023-11-01,3100.00,3035
2023-12-01,3100.00,3097
2024-01-01,3100.00,3291
2024-02-01,3100.00,2746
2024-03-01,3100.00,3275
2024-04-01,3100.00,3246
2024-05-01,3100.00,3138
2024-06-01,3100.00,3133
2024-07-01,3200.00,3358
2024-08-01,3100.00,2951
2024-09-01,3100.00,2793
2024-10-01,3100.00,2761
2024-11-01,3200.00,2815
2024-12-01,3100.00,3001
2025-01-01,3100.00,2970
2025-02-01,3150.00,3145
2025-03-01,3200.00,3545
2025-04-01,3200.00,3233
2025-05-01,3200.00,3428
2025-06-01,3200.00,3411
2025-07-01,3200.00,3712
2025-08-01,3200.00,3199
2025-09-01,3200.00,3084
2025-10-01,3200.00,3105
2025-11-01,3200.00,3098
2025-12-01,3200.00,3168
2026-01-01,3200.00,3277
2026-02-01,3200.00,2640
2026-03-01,3200.00,3492
2026-04-01,3200.00,3134
2026-05-01,3200.00,3137
2026-06-01,3200.00,3090
