town,median_monthly_rent,record_count
BISHAN,3600.00,779
BUKIT TIMAH,3600.00,121
BUKIT MERAH,3500.00,2195
CENTRAL AREA,3500.00,659
PASIR RIS,3500.00,1047
JURONG WEST,3400.00,2759
SERANGOON,3300.00,844
TAMPINES,3300.00,2560
QUEENSTOWN,3250.00,1614
CLEMENTI,3200.00,1408
CHOA CHU KANG,3200.00,1333
SENGKANG,3200.00,2483
PUNGGOL,3200.00,1746
TENGAH,3200.00,14
JURONG EAST,3200.00,1060
MARINE PARADE,3200.00,405
KALLANG/WHAMPOA,3200.00,1543
BUKIT PANJANG,3100.00,953
HOUGANG,3100.00,1855
SEMBAWANG,3100.00,1071
WOODLANDS,3100.00,1937
TOA PAYOH,3050.00,1626
BUKIT BATOK,3000.00,1545
BEDOK,3000.00,2170
GEYLANG,3000.00,1184
YISHUN,3000.00,2083
ANG MO KIO,2900.00,2104
