period,flat_type_normalised,median_resale_price,record_count
2017-03-01,1 ROOM,209000.00,2
2017-05-01,1 ROOM,217000.00,1
2017-07-01,1 ROOM,189000.00,2
2017-08-01,1 ROOM,190000.00,1
2017-09-01,1 ROOM,197500.00,2
2017-11-01,1 ROOM,210000.00,1
2018-02-01,1 ROOM,232000.00,1
2018-06-01,1 ROOM,180000.00,3
2018-07-01,1 ROOM,188000.00,1
2018-08-01,1 ROOM,174000.00,2
2018-11-01,1 ROOM,174000.00,2
2019-01-01,1 ROOM,172000.00,1
2019-02-01,1 ROOM,182500.00,2
2019-03-01,1 ROOM,172000.00,3
2019-04-01,1 ROOM,173268.00,1
2019-05-01,1 ROOM,183000.00,3
2019-09-01,1 ROOM,165000.00,1
2020-02-01,1 ROOM,157000.00,1
2020-03-01,1 ROOM,162500.00,2
2020-05-01,1 ROOM,165000.00,1
2020-06-01,1 ROOM,192500.00,2
2020-07-01,1 ROOM,186500.00,2
2020-11-01,1 ROOM,197500.00,2
2021-01-01,1 ROOM,182000.00,1
2021-02-01,1 ROOM,192500.00,2
2021-03-01,1 ROOM,194000.00,2
2021-04-01,1 ROOM,205000.00,1
2021-05-01,1 ROOM,190000.00,1
2021-06-01,1 ROOM,205000.00,1
2021-07-01,1 ROOM,220000.00,1
2022-03-01,1 ROOM,215000.00,2
2022-05-01,1 ROOM,228500.00,2
2022-06-01,1 ROOM,248000.00,1
2022-07-01,1 ROOM,235000.00,3
2022-11-01,1 ROOM,233888.00,1
2022-12-01,1 ROOM,235000.00,1
2023-03-01,1 ROOM,237000.00,1
2023-04-01,1 ROOM,240000.00,1
2023-05-01,1 ROOM,251000.00,1
2023-10-01,1 ROOM,236000.00,2
2023-11-01,1 ROOM,258000.00,1
2024-03-01,1 ROOM,230000.00,1
2024-04-01,1 ROOM,235000.00,2
2024-05-01,1 ROOM,242000.00,1
2024-07-01,1 ROOM,245000.00,1
2024-08-01,1 ROOM,255000.00,1
2024-11-01,1 ROOM,268000.00,3
2024-12-01,1 ROOM,265000.00,2
2025-02-01,1 ROOM,260000.00,1
2025-04-01,1 ROOM,270000.00,1
2025-06-01,1 ROOM,272000.00,1
2025-08-01,1 ROOM,270000.00,1
2025-10-01,1 ROOM,268888.00,1
2026-01-01,1 ROOM,275000.00,1
2026-02-01,1 ROOM,238888.00,1
2026-04-01,1 ROOM,267500.00,2
2026-05-01,1 ROOM,270000.00,1
2026-06-01,1 ROOM,251500.00,2
2017-01-01,2 ROOM,239000.00,18
2017-02-01,2 ROOM,238000.00,15
2017-03-01,2 ROOM,255500.00,16
2017-04-01,2 ROOM,235000.00,19
2017-05-01,2 ROOM,249000.00,18
2017-06-01,2 ROOM,242000.00,24
2017-07-01,2 ROOM,240000.00,24
2017-08-01,2 ROOM,237500.00,22
2017-09-01,2 ROOM,237500.00,14
2017-10-01,2 ROOM,225000.00,9
2017-11-01,2 ROOM,223998.00,25
2017-12-01,2 ROOM,250000.00,15
2018-01-01,2 ROOM,230000.00,15
2018-02-01,2 ROOM,225434.00,14
2018-03-01,2 ROOM,235000.00,23
2018-04-01,2 ROOM,228000.00,21
2018-05-01,2 ROOM,229000.00,24
2018-06-01,2 ROOM,240000.00,31
2018-07-01,2 ROOM,238500.00,30
2018-08-01,2 ROOM,230000.00,34
2018-09-01,2 ROOM,230000.00,23
2018-10-01,2 ROOM,235000.00,22
2018-11-01,2 ROOM,218000.00,29
2018-12-01,2 ROOM,220000.00,20
2019-01-01,2 ROOM,236000.00,18
2019-02-01,2 ROOM,225000.00,25
2019-03-01,2 ROOM,225000.00,31
2019-04-01,2 ROOM,232500.00,26
2019-05-01,2 ROOM,229000.00,32
2019-06-01,2 ROOM,225000.00,30
2019-07-01,2 ROOM,227000.00,47
2019-08-01,2 ROOM,225500.00,44
2019-09-01,2 ROOM,226500.00,42
2019-10-01,2 ROOM,225500.00,42
2019-11-01,2 ROOM,220000.00,43
2019-12-01,2 ROOM,225500.00,34
2020-01-01,2 ROOM,225750.00,34
2020-02-01,2 ROOM,231000.00,38
2020-03-01,2 ROOM,234500.00,50
2020-04-01,2 ROOM,237500.00,4
2020-05-01,2 ROOM,214000.00,8
2020-06-01,2 ROOM,228000.00,45
2020-07-01,2 ROOM,225000.00,62
2020-08-01,2 ROOM,221500.00,42
2020-09-01,2 ROOM,233500.00,38
2020-10-01,2 ROOM,235500.00,40
2020-11-01,2 ROOM,239800.00,27
2020-12-01,2 ROOM,241000.00,30
2021-01-01,2 ROOM,245000.00,38
2021-02-01,2 ROOM,259000.00,32
2021-03-01,2 ROOM,257000.00,28
2021-04-01,2 ROOM,250000.00,35
2021-05-01,2 ROOM,267500.00,26
2021-06-01,2 ROOM,243000.00,29
2021-07-01,2 ROOM,256000.00,31
