period,median_resale_price,record_count
2017-01-01,405000.00,1185
2017-02-01,415000.00,1085
2017-03-01,415000.00,1903
2017-04-01,408000.00,1839
2017-05-01,410000.00,1980
2017-06-01,415000.00,1747
2017-07-01,405000.00,1780
2017-08-01,415000.00,1960
2017-09-01,418000.00,1680
2017-10-01,410000.00,1785
2017-11-01,410000.00,1980
2017-12-01,418000.00,1585
2018-01-01,415000.00,1072
2018-02-01,408000.00,1183
2018-03-01,418000.00,1881
2018-04-01,410000.00,1838
2018-05-01,412000.00,1740
2018-06-01,410000.00,1975
2018-07-01,415000.00,2539
2018-08-01,405000.00,2067
2018-09-01,400000.00,1985
2018-10-01,398500.00,1992
2018-11-01,395500.00,1866
2018-12-01,395000.00,1423
2019-01-01,395000.00,1550
2019-02-01,393000.00,1304
2019-03-01,400000.00,1653
2019-04-01,400000.00,1915
2019-05-01,400000.00,2070
2019-06-01,400000.00,1884
2019-07-01,405000.00,2114
2019-08-01,405000.00,1902
2019-09-01,400000.00,1830
2019-10-01,400444.00,2206
2019-11-01,405000.00,1910
2019-12-01,405000.00,1848
2020-01-01,400000.00,1911
2020-02-01,408000.00,1661
2020-03-01,412000.00,1937
2020-04-01,424000.00,424
2020-05-01,430000.00,363
2020-06-01,405000.00,2438
2020-07-01,413000.00,2456
2020-08-01,425000.00,2426
2020-09-01,431000.00,2482
2020-10-01,450000.00,2427
2020-11-01,446888.00,2322
2020-12-01,450500.00,2486
2021-01-01,460000.00,2491
2021-02-01,460000.00,2160
2021-03-01,465000.00,2443
2021-04-01,472000.00,2333
2021-05-01,480000.00,1957
2021-06-01,482000.00,2302
2021-07-01,480000.00,2659
2021-08-01,490000.00,2739
2021-09-01,492000.00,2516
2021-10-01,500000.00,2499
2021-11-01,503000.00,2566
2021-12-01,505000.00,2422
2022-01-01,500000.00,2442
2022-02-01,508000.00,1895
2022-03-01,510000.00,2262
2022-04-01,520000.00,2262
2022-05-01,520000.00,2154
2022-06-01,530000.00,2135
2022-07-01,530000.00,2361
2022-08-01,522000.00,2309
2022-09-01,538000.00,2578
2022-10-01,542750.00,1958
2022-11-01,538000.00,2130
2022-12-01,530000.00,2234
2023-01-01,535000.00,2551
2023-02-01,535800.00,1837
2023-03-01,543800.00,2277
2023-04-01,550000.00,2177
2023-05-01,550000.00,2245
2023-06-01,550000.00,1853
2023-07-01,555000.00,2052
2023-08-01,555000.00,2467
2023-09-01,550000.00,1974
2023-10-01,555000.00,2189
2023-11-01,560000.00,2128
2023-12-01,560000.00,2004
2024-01-01,570000.00,2621
2024-02-01,568000.00,2123
2024-03-01,572000.00,2046
2024-04-01,570000.00,2370
2024-05-01,580000.00,2490
2024-06-01,595000.00,2171
2024-07-01,595000.00,3036
2024-08-01,600000.00,2591
2024-09-01,610000.00,2204
2024-10-01,615000.00,2139
2024-11-01,615000.00,1929
2024-12-01,615444.00,2112
2025-01-01,612888.00,2313
2025-02-01,620000.00,2091
2025-03-01,625000.00,1899
2025-04-01,630000.00,2297
2025-05-01,635000.00,2266
2025-06-01,632400.00,2260
2025-07-01,628000.00,2562
2025-08-01,622000.00,2203
2025-09-01,645000.00,2174
2025-10-01,620000.00,1338
2025-11-01,618000.00,1658
2025-12-01,635000.00,2024
2026-01-01,630000.00,2339
2026-02-01,622000.00,1662
2026-03-01,630750.00,2042
2026-04-01,630000.00,1935
2026-05-01,630000.00,2129
2026-06-01,625000.00,2129
2026-07-01,630000.00,2656
