town,median_resale_price,record_count
BUKIT TIMAH,962944.00,54
BISHAN,849000.00,376
QUEENSTOWN,815000.00,605
BUKIT MERAH,785000.00,933
TOA PAYOH,785000.00,1063
PASIR RIS,714000.00,634
TAMPINES,710000.00,1921
KALLANG/WHAMPOA,709000.00,794
PUNGGOL,672000.00,1538
SERANGOON,670000.00,402
SENGKANG,660888.00,1905
SEMBAWANG,620000.00,1191
HOUGANG,615000.00,1313
CENTRAL AREA,611944.00,172
BUKIT PANJANG,610000.00,798
BUKIT BATOK,600000.00,1304
CHOA CHU KANG,592888.00,1027
CLEMENTI,590000.00,552
WOODLANDS,590000.00,1748
GEYLANG,570000.00,639
JURONG WEST,568000.00,1591
BEDOK,548000.00,1207
YISHUN,547000.00,1703
MARINE PARADE,539750.00,162
JURONG EAST,524000.00,482
ANG MO KIO,499000.00,971
